5,54
10,108
15,163
20,218
25,273
30,328
35,383
40,438
45,493
50,548
5,38
10,69
15,92
20,123
25,138
30,169
35,192
40,215
45,238
50,253
5,38
10,93
15,76
20,203
25,114
30,153
35,384
40,191
45,486
50,221
5,54
10,61
15,156
20,91
25,186
30,129
35,256
40,175
45,318
50,205
5,38
